Emotions,Path
neutral,data/SAVEE/ALL/DC_n30.wav
neutral,data/SAVEE/ALL/KL_n24.wav
neutral,data/SAVEE/ALL/JK_n01.wav
sad,data/SAVEE/ALL/KL_sa03.wav
neutral,data/SAVEE/ALL/KL_n08.wav
angry,data/SAVEE/ALL/KL_a12.wav
fear,data/SAVEE/ALL/JK_f13.wav
neutral,data/SAVEE/ALL/JK_n24.wav
happy,data/SAVEE/ALL/JE_h13.wav
fear,data/SAVEE/ALL/KL_f01.wav
surprise,data/SAVEE/ALL/DC_su07.wav
neutral,data/SAVEE/ALL/DC_n23.wav
happy,data/SAVEE/ALL/JK_h02.wav
sad,data/SAVEE/ALL/JK_sa01.wav
disgust,data/SAVEE/ALL/KL_d03.wav
neutral,data/SAVEE/ALL/JE_n30.wav
neutral,data/SAVEE/ALL/DC_n24.wav
disgust,data/SAVEE/ALL/JK_d09.wav
surprise,data/SAVEE/ALL/DC_su14.wav
neutral,data/SAVEE/ALL/DC_n07.wav
neutral,data/SAVEE/ALL/KL_n26.wav
fear,data/SAVEE/ALL/KL_f08.wav
happy,data/SAVEE/ALL/JE_h06.wav
sad,data/SAVEE/ALL/JK_sa06.wav
happy,data/SAVEE/ALL/DC_h04.wav
surprise,data/SAVEE/ALL/JE_su03.wav
neutral,data/SAVEE/ALL/JE_n17.wav
fear,data/SAVEE/ALL/DC_f12.wav
neutral,data/SAVEE/ALL/KL_n18.wav
disgust,data/SAVEE/ALL/JK_d06.wav
happy,data/SAVEE/ALL/KL_h07.wav
happy,data/SAVEE/ALL/DC_h03.wav
fear,data/SAVEE/ALL/JE_f07.wav
neutral,data/SAVEE/ALL/JK_n04.wav
angry,data/SAVEE/ALL/KL_a09.wav
sad,data/SAVEE/ALL/DC_sa09.wav
neutral,data/SAVEE/ALL/JE_n08.wav
sad,data/SAVEE/ALL/JK_sa11.wav
angry,data/SAVEE/ALL/KL_a13.wav
surprise,data/SAVEE/ALL/KL_su05.wav
angry,data/SAVEE/ALL/DC_a07.wav
sad,data/SAVEE/ALL/DC_sa10.wav
surprise,data/SAVEE/ALL/KL_su08.wav
disgust,data/SAVEE/ALL/JK_d15.wav
happy,data/SAVEE/ALL/JE_h09.wav
neutral,data/SAVEE/ALL/DC_n14.wav
surprise,data/SAVEE/ALL/DC_su06.wav
happy,data/SAVEE/ALL/DC_h11.wav
disgust,data/SAVEE/ALL/JE_d09.wav
angry,data/SAVEE/ALL/JK_a09.wav
neutral,data/SAVEE/ALL/JE_n06.wav
angry,data/SAVEE/ALL/DC_a09.wav
angry,data/SAVEE/ALL/DC_a02.wav
disgust,data/SAVEE/ALL/JE_d06.wav
neutral,data/SAVEE/ALL/JE_n19.wav
neutral,data/SAVEE/ALL/DC_n08.wav
fear,data/SAVEE/ALL/JE_f05.wav
neutral,data/SAVEE/ALL/JE_n25.wav
surprise,data/SAVEE/ALL/DC_su04.wav
fear,data/SAVEE/ALL/JK_f07.wav
happy,data/SAVEE/ALL/JK_h08.wav
disgust,data/SAVEE/ALL/JK_d11.wav
fear,data/SAVEE/ALL/JE_f09.wav
happy,data/SAVEE/ALL/KL_h08.wav
sad,data/SAVEE/ALL/JK_sa14.wav
disgust,data/SAVEE/ALL/DC_d04.wav
angry,data/SAVEE/ALL/DC_a11.wav
angry,data/SAVEE/ALL/JE_a02.wav
neutral,data/SAVEE/ALL/JE_n26.wav
angry,data/SAVEE/ALL/KL_a01.wav
angry,data/SAVEE/ALL/JE_a10.wav
neutral,data/SAVEE/ALL/DC_n21.wav
neutral,data/SAVEE/ALL/KL_n05.wav
sad,data/SAVEE/ALL/JK_sa15.wav
neutral,data/SAVEE/ALL/JK_n05.wav
disgust,data/SAVEE/ALL/JE_d12.wav
disgust,data/SAVEE/ALL/JK_d05.wav
surprise,data/SAVEE/ALL/JK_su06.wav
happy,data/SAVEE/ALL/JE_h07.wav
surprise,data/SAVEE/ALL/KL_su13.wav
sad,data/SAVEE/ALL/KL_sa02.wav
fear,data/SAVEE/ALL/JK_f08.wav
disgust,data/SAVEE/ALL/KL_d14.wav
sad,data/SAVEE/ALL/DC_sa15.wav
neutral,data/SAVEE/ALL/KL_n15.wav
sad,data/SAVEE/ALL/JK_sa10.wav
neutral,data/SAVEE/ALL/JK_n02.wav
angry,data/SAVEE/ALL/JE_a14.wav
angry,data/SAVEE/ALL/KL_a11.wav
happy,data/SAVEE/ALL/JK_h03.wav
disgust,data/SAVEE/ALL/DC_d10.wav
sad,data/SAVEE/ALL/JK_sa02.wav
disgust,data/SAVEE/ALL/KL_d15.wav
happy,data/SAVEE/ALL/JE_h03.wav
disgust,data/SAVEE/ALL/JK_d02.wav
neutral,data/SAVEE/ALL/DC_n04.wav
happy,data/SAVEE/ALL/DC_h10.wav
happy,data/SAVEE/ALL/KL_h11.wav
angry,data/SAVEE/ALL/JE_a01.wav
neutral,data/SAVEE/ALL/KL_n10.wav
neutral,data/SAVEE/ALL/JK_n16.wav
surprise,data/SAVEE/ALL/JK_su12.wav
surprise,data/SAVEE/ALL/JE_su13.wav
surprise,data/SAVEE/ALL/JK_su11.wav
fear,data/SAVEE/ALL/JK_f04.wav
angry,data/SAVEE/ALL/DC_a14.wav
disgust,data/SAVEE/ALL/JE_d04.wav
surprise,data/SAVEE/ALL/KL_su10.wav
neutral,data/SAVEE/ALL/JK_n08.wav
angry,data/SAVEE/ALL/JE_a13.wav
neutral,data/SAVEE/ALL/DC_n03.wav
fear,data/SAVEE/ALL/KL_f11.wav
surprise,data/SAVEE/ALL/DC_su03.wav
sad,data/SAVEE/ALL/KL_sa06.wav
sad,data/SAVEE/ALL/JE_sa09.wav
angry,data/SAVEE/ALL/JE_a12.wav
sad,data/SAVEE/ALL/DC_sa07.wav
sad,data/SAVEE/ALL/DC_sa05.wav
disgust,data/SAVEE/ALL/JE_d05.wav
surprise,data/SAVEE/ALL/JE_su04.wav
neutral,data/SAVEE/ALL/KL_n29.wav
fear,data/SAVEE/ALL/KL_f12.wav
fear,data/SAVEE/ALL/DC_f15.wav
happy,data/SAVEE/ALL/DC_h15.wav
happy,data/SAVEE/ALL/JK_h11.wav
sad,data/SAVEE/ALL/JE_sa04.wav
neutral,data/SAVEE/ALL/JE_n16.wav
fear,data/SAVEE/ALL/DC_f14.wav
neutral,data/SAVEE/ALL/DC_n26.wav
happy,data/SAVEE/ALL/JE_h15.wav
disgust,data/SAVEE/ALL/DC_d06.wav
sad,data/SAVEE/ALL/KL_sa01.wav
neutral,data/SAVEE/ALL/JE_n03.wav
neutral,data/SAVEE/ALL/JE_n21.wav
fear,data/SAVEE/ALL/JK_f12.wav
disgust,data/SAVEE/ALL/KL_d01.wav
angry,data/SAVEE/ALL/JK_a03.wav
neutral,data/SAVEE/ALL/JE_n02.wav
fear,data/SAVEE/ALL/DC_f08.wav
neutral,data/SAVEE/ALL/KL_n07.wav
fear,data/SAVEE/ALL/DC_f04.wav
disgust,data/SAVEE/ALL/JK_d04.wav
sad,data/SAVEE/ALL/KL_sa09.wav
disgust,data/SAVEE/ALL/DC_d14.wav
neutral,data/SAVEE/ALL/DC_n19.wav
fear,data/SAVEE/ALL/DC_f09.wav
surprise,data/SAVEE/ALL/JK_su03.wav
happy,data/SAVEE/ALL/JK_h04.wav
neutral,data/SAVEE/ALL/JK_n18.wav
angry,data/SAVEE/ALL/JK_a07.wav
happy,data/SAVEE/ALL/JK_h13.wav
disgust,data/SAVEE/ALL/JK_d08.wav
angry,data/SAVEE/ALL/JK_a01.wav
sad,data/SAVEE/ALL/KL_sa11.wav
sad,data/SAVEE/ALL/DC_sa06.wav
neutral,data/SAVEE/ALL/JE_n24.wav
fear,data/SAVEE/ALL/JK_f01.wav
sad,data/SAVEE/ALL/JK_sa07.wav
sad,data/SAVEE/ALL/JE_sa07.wav
disgust,data/SAVEE/ALL/JK_d14.wav
surprise,data/SAVEE/ALL/DC_su09.wav
angry,data/SAVEE/ALL/JE_a04.wav
happy,data/SAVEE/ALL/DC_h13.wav
sad,data/SAVEE/ALL/JE_sa11.wav
happy,data/SAVEE/ALL/DC_h12.wav
disgust,data/SAVEE/ALL/JE_d11.wav
disgust,data/SAVEE/ALL/JK_d13.wav
fear,data/SAVEE/ALL/JK_f06.wav
angry,data/SAVEE/ALL/JK_a12.wav
neutral,data/SAVEE/ALL/KL_n17.wav
surprise,data/SAVEE/ALL/JE_su12.wav
sad,data/SAVEE/ALL/JK_sa08.wav
disgust,data/SAVEE/ALL/KL_d10.wav
fear,data/SAVEE/ALL/JK_f15.wav
disgust,data/SAVEE/ALL/DC_d11.wav
sad,data/SAVEE/ALL/KL_sa13.wav
happy,data/SAVEE/ALL/KL_h06.wav
surprise,data/SAVEE/ALL/JK_su10.wav
angry,data/SAVEE/ALL/DC_a12.wav
neutral,data/SAVEE/ALL/JE_n29.wav
disgust,data/SAVEE/ALL/JK_d03.wav
disgust,data/SAVEE/ALL/DC_d09.wav
neutral,data/SAVEE/ALL/JK_n23.wav
angry,data/SAVEE/ALL/JK_a10.wav
surprise,data/SAVEE/ALL/JK_su13.wav
happy,data/SAVEE/ALL/KL_h09.wav
surprise,data/SAVEE/ALL/KL_su09.wav
surprise,data/SAVEE/ALL/JE_su05.wav
neutral,data/SAVEE/ALL/JK_n29.wav
fear,data/SAVEE/ALL/KL_f07.wav
neutral,data/SAVEE/ALL/KL_n12.wav
fear,data/SAVEE/ALL/JE_f12.wav
neutral,data/SAVEE/ALL/KL_n20.wav
happy,data/SAVEE/ALL/DC_h01.wav
angry,data/SAVEE/ALL/DC_a04.wav
surprise,data/SAVEE/ALL/DC_su15.wav
fear,data/SAVEE/ALL/JK_f10.wav
fear,data/SAVEE/ALL/JK_f14.wav
neutral,data/SAVEE/ALL/JE_n14.wav
neutral,data/SAVEE/ALL/JK_n12.wav
disgust,data/SAVEE/ALL/DC_d15.wav
happy,data/SAVEE/ALL/DC_h06.wav
angry,data/SAVEE/ALL/DC_a01.wav
happy,data/SAVEE/ALL/JK_h15.wav
angry,data/SAVEE/ALL/KL_a10.wav
neutral,data/SAVEE/ALL/JE_n05.wav
neutral,data/SAVEE/ALL/JK_n10.wav
fear,data/SAVEE/ALL/JE_f06.wav
neutral,data/SAVEE/ALL/JK_n15.wav
fear,data/SAVEE/ALL/JE_f01.wav
surprise,data/SAVEE/ALL/JK_su02.wav
disgust,data/SAVEE/ALL/DC_d05.wav
neutral,data/SAVEE/ALL/JE_n20.wav
fear,data/SAVEE/ALL/DC_f10.wav
neutral,data/SAVEE/ALL/JK_n03.wav
sad,data/SAVEE/ALL/DC_sa02.wav
angry,data/SAVEE/ALL/JK_a06.wav
fear,data/SAVEE/ALL/JE_f08.wav
neutral,data/SAVEE/ALL/JE_n01.wav
surprise,data/SAVEE/ALL/KL_su06.wav
happy,data/SAVEE/ALL/JE_h02.wav
happy,data/SAVEE/ALL/KL_h10.wav
disgust,data/SAVEE/ALL/DC_d13.wav
neutral,data/SAVEE/ALL/JK_n09.wav
sad,data/SAVEE/ALL/KL_sa05.wav
happy,data/SAVEE/ALL/JK_h09.wav
happy,data/SAVEE/ALL/KL_h04.wav
happy,data/SAVEE/ALL/JK_h07.wav
neutral,data/SAVEE/ALL/JK_n22.wav
sad,data/SAVEE/ALL/KL_sa10.wav
angry,data/SAVEE/ALL/KL_a07.wav
angry,data/SAVEE/ALL/JK_a08.wav
fear,data/SAVEE/ALL/KL_f03.wav
disgust,data/SAVEE/ALL/JE_d13.wav
angry,data/SAVEE/ALL/DC_a13.wav
neutral,data/SAVEE/ALL/JE_n15.wav
disgust,data/SAVEE/ALL/KL_d07.wav
angry,data/SAVEE/ALL/DC_a05.wav
neutral,data/SAVEE/ALL/KL_n21.wav
disgust,data/SAVEE/ALL/JE_d14.wav
sad,data/SAVEE/ALL/JK_sa04.wav
happy,data/SAVEE/ALL/KL_h02.wav
fear,data/SAVEE/ALL/KL_f13.wav
disgust,data/SAVEE/ALL/JK_d12.wav
disgust,data/SAVEE/ALL/DC_d07.wav
surprise,data/SAVEE/ALL/KL_su12.wav
surprise,data/SAVEE/ALL/JE_su09.wav
fear,data/SAVEE/ALL/DC_f03.wav
happy,data/SAVEE/ALL/JE_h12.wav
disgust,data/SAVEE/ALL/JK_d10.wav
surprise,data/SAVEE/ALL/JE_su07.wav
neutral,data/SAVEE/ALL/KL_n25.wav
surprise,data/SAVEE/ALL/DC_su02.wav
surprise,data/SAVEE/ALL/JK_su14.wav
surprise,data/SAVEE/ALL/KL_su15.wav
neutral,data/SAVEE/ALL/JE_n13.wav
disgust,data/SAVEE/ALL/JE_d08.wav
neutral,data/SAVEE/ALL/KL_n23.wav
disgust,data/SAVEE/ALL/JK_d01.wav
sad,data/SAVEE/ALL/JE_sa10.wav
disgust,data/SAVEE/ALL/JE_d02.wav
neutral,data/SAVEE/ALL/JK_n28.wav
neutral,data/SAVEE/ALL/JK_n25.wav
neutral,data/SAVEE/ALL/DC_n18.wav
surprise,data/SAVEE/ALL/JE_su01.wav
fear,data/SAVEE/ALL/JE_f11.wav
angry,data/SAVEE/ALL/JE_a07.wav
sad,data/SAVEE/ALL/JE_sa15.wav
surprise,data/SAVEE/ALL/JE_su02.wav
surprise,data/SAVEE/ALL/JK_su04.wav
disgust,data/SAVEE/ALL/KL_d08.wav
neutral,data/SAVEE/ALL/DC_n10.wav
angry,data/SAVEE/ALL/JE_a11.wav
happy,data/SAVEE/ALL/DC_h05.wav
happy,data/SAVEE/ALL/JK_h06.wav
fear,data/SAVEE/ALL/DC_f06.wav
happy,data/SAVEE/ALL/DC_h02.wav
angry,data/SAVEE/ALL/KL_a02.wav
angry,data/SAVEE/ALL/JE_a03.wav
sad,data/SAVEE/ALL/DC_sa12.wav
neutral,data/SAVEE/ALL/JE_n09.wav
neutral,data/SAVEE/ALL/DC_n29.wav
angry,data/SAVEE/ALL/DC_a06.wav
neutral,data/SAVEE/ALL/KL_n09.wav
happy,data/SAVEE/ALL/KL_h03.wav
surprise,data/SAVEE/ALL/JK_su07.wav
fear,data/SAVEE/ALL/JE_f03.wav
neutral,data/SAVEE/ALL/DC_n11.wav
surprise,data/SAVEE/ALL/DC_su10.wav
disgust,data/SAVEE/ALL/JE_d10.wav
happy,data/SAVEE/ALL/JK_h12.wav
sad,data/SAVEE/ALL/KL_sa12.wav
neutral,data/SAVEE/ALL/JK_n21.wav
happy,data/SAVEE/ALL/JK_h14.wav
surprise,data/SAVEE/ALL/DC_su01.wav
sad,data/SAVEE/ALL/DC_sa14.wav
neutral,data/SAVEE/ALL/JK_n19.wav
happy,data/SAVEE/ALL/DC_h14.wav
fear,data/SAVEE/ALL/KL_f05.wav
neutral,data/SAVEE/ALL/DC_n25.wav
happy,data/SAVEE/ALL/DC_h08.wav
surprise,data/SAVEE/ALL/KL_su01.wav
neutral,data/SAVEE/ALL/DC_n09.wav
neutral,data/SAVEE/ALL/DC_n15.wav
surprise,data/SAVEE/ALL/KL_su07.wav
happy,data/SAVEE/ALL/DC_h09.wav
sad,data/SAVEE/ALL/DC_sa13.wav
surprise,data/SAVEE/ALL/JK_su08.wav
neutral,data/SAVEE/ALL/JK_n14.wav
happy,data/SAVEE/ALL/JE_h10.wav
angry,data/SAVEE/ALL/JE_a06.wav
neutral,data/SAVEE/ALL/DC_n17.wav
neutral,data/SAVEE/ALL/JE_n27.wav
surprise,data/SAVEE/ALL/JE_su11.wav
fear,data/SAVEE/ALL/KL_f15.wav
fear,data/SAVEE/ALL/DC_f02.wav
neutral,data/SAVEE/ALL/JE_n23.wav
angry,data/SAVEE/ALL/JK_a11.wav
disgust,data/SAVEE/ALL/JK_d07.wav
disgust,data/SAVEE/ALL/KL_d12.wav
happy,data/SAVEE/ALL/JE_h05.wav
sad,data/SAVEE/ALL/JE_sa14.wav
sad,data/SAVEE/ALL/JE_sa03.wav
sad,data/SAVEE/ALL/JE_sa08.wav
fear,data/SAVEE/ALL/JE_f10.wav
angry,data/SAVEE/ALL/JK_a05.wav
disgust,data/SAVEE/ALL/DC_d03.wav
neutral,data/SAVEE/ALL/JE_n11.wav
sad,data/SAVEE/ALL/JE_sa05.wav
neutral,data/SAVEE/ALL/JK_n11.wav
angry,data/SAVEE/ALL/JK_a14.wav
fear,data/SAVEE/ALL/JK_f11.wav
neutral,data/SAVEE/ALL/KL_n01.wav
neutral,data/SAVEE/ALL/JK_n20.wav
angry,data/SAVEE/ALL/JE_a09.wav
disgust,data/SAVEE/ALL/JE_d15.wav
fear,data/SAVEE/ALL/JE_f04.wav
disgust,data/SAVEE/ALL/JE_d03.wav
surprise,data/SAVEE/ALL/JE_su15.wav
surprise,data/SAVEE/ALL/DC_su13.wav
angry,data/SAVEE/ALL/DC_a03.wav
neutral,data/SAVEE/ALL/KL_n11.wav
angry,data/SAVEE/ALL/JE_a15.wav
sad,data/SAVEE/ALL/JK_sa03.wav
happy,data/SAVEE/ALL/JE_h04.wav
fear,data/SAVEE/ALL/JE_f02.wav
neutral,data/SAVEE/ALL/JE_n10.wav
neutral,data/SAVEE/ALL/KL_n27.wav
fear,data/SAVEE/ALL/JK_f02.wav
fear,data/SAVEE/ALL/KL_f04.wav
neutral,data/SAVEE/ALL/JK_n06.wav
sad,data/SAVEE/ALL/KL_sa04.wav
neutral,data/SAVEE/ALL/KL_n14.wav
surprise,data/SAVEE/ALL/JE_su10.wav
sad,data/SAVEE/ALL/JK_sa13.wav
disgust,data/SAVEE/ALL/KL_d04.wav
angry,data/SAVEE/ALL/JK_a15.wav
neutral,data/SAVEE/ALL/JK_n07.wav
fear,data/SAVEE/ALL/DC_f05.wav
disgust,data/SAVEE/ALL/DC_d12.wav
happy,data/SAVEE/ALL/KL_h05.wav
neutral,data/SAVEE/ALL/DC_n22.wav
disgust,data/SAVEE/ALL/KL_d13.wav
surprise,data/SAVEE/ALL/KL_su11.wav
neutral,data/SAVEE/ALL/KL_n30.wav
angry,data/SAVEE/ALL/KL_a03.wav
sad,data/SAVEE/ALL/KL_sa08.wav
fear,data/SAVEE/ALL/JE_f15.wav
happy,data/SAVEE/ALL/DC_h07.wav
neutral,data/SAVEE/ALL/DC_n02.wav
angry,data/SAVEE/ALL/JK_a04.wav
neutral,data/SAVEE/ALL/JK_n17.wav
neutral,data/SAVEE/ALL/JE_n07.wav
happy,data/SAVEE/ALL/KL_h14.wav
disgust,data/SAVEE/ALL/JE_d07.wav
surprise,data/SAVEE/ALL/JK_su15.wav
fear,data/SAVEE/ALL/DC_f13.wav
sad,data/SAVEE/ALL/DC_sa03.wav
surprise,data/SAVEE/ALL/JK_su09.wav
sad,data/SAVEE/ALL/JK_sa09.wav
neutral,data/SAVEE/ALL/KL_n02.wav
angry,data/SAVEE/ALL/KL_a05.wav
neutral,data/SAVEE/ALL/JE_n12.wav
neutral,data/SAVEE/ALL/DC_n12.wav
angry,data/SAVEE/ALL/KL_a14.wav
angry,data/SAVEE/ALL/JE_a05.wav
neutral,data/SAVEE/ALL/DC_n28.wav
fear,data/SAVEE/ALL/DC_f11.wav
happy,data/SAVEE/ALL/KL_h13.wav
angry,data/SAVEE/ALL/KL_a08.wav
neutral,data/SAVEE/ALL/KL_n22.wav
fear,data/SAVEE/ALL/JK_f03.wav
neutral,data/SAVEE/ALL/DC_n05.wav
sad,data/SAVEE/ALL/JE_sa06.wav
happy,data/SAVEE/ALL/JE_h14.wav
sad,data/SAVEE/ALL/DC_sa11.wav
disgust,data/SAVEE/ALL/KL_d05.wav
sad,data/SAVEE/ALL/DC_sa01.wav
angry,data/SAVEE/ALL/KL_a04.wav
sad,data/SAVEE/ALL/JK_sa12.wav
neutral,data/SAVEE/ALL/JE_n18.wav
disgust,data/SAVEE/ALL/DC_d01.wav
surprise,data/SAVEE/ALL/KL_su03.wav
neutral,data/SAVEE/ALL/KL_n19.wav
happy,data/SAVEE/ALL/JK_h01.wav
neutral,data/SAVEE/ALL/KL_n04.wav
angry,data/SAVEE/ALL/JE_a08.wav
fear,data/SAVEE/ALL/JK_f05.wav
happy,data/SAVEE/ALL/KL_h12.wav
neutral,data/SAVEE/ALL/KL_n06.wav
sad,data/SAVEE/ALL/JE_sa13.wav
fear,data/SAVEE/ALL/JE_f13.wav
neutral,data/SAVEE/ALL/JK_n30.wav
neutral,data/SAVEE/ALL/JK_n27.wav
neutral,data/SAVEE/ALL/DC_n01.wav
angry,data/SAVEE/ALL/JK_a13.wav
sad,data/SAVEE/ALL/KL_sa07.wav
fear,data/SAVEE/ALL/DC_f01.wav
fear,data/SAVEE/ALL/KL_f02.wav
surprise,data/SAVEE/ALL/DC_su05.wav
sad,data/SAVEE/ALL/KL_sa14.wav
surprise,data/SAVEE/ALL/KL_su04.wav
surprise,data/SAVEE/ALL/DC_su08.wav
surprise,data/SAVEE/ALL/KL_su02.wav
sad,data/SAVEE/ALL/KL_sa15.wav
neutral,data/SAVEE/ALL/KL_n16.wav
surprise,data/SAVEE/ALL/JE_su14.wav
disgust,data/SAVEE/ALL/KL_d11.wav
surprise,data/SAVEE/ALL/JE_su06.wav
fear,data/SAVEE/ALL/KL_f09.wav
fear,data/SAVEE/ALL/KL_f06.wav
neutral,data/SAVEE/ALL/JE_n04.wav
happy,data/SAVEE/ALL/JK_h05.wav
sad,data/SAVEE/ALL/JE_sa12.wav
neutral,data/SAVEE/ALL/DC_n27.wav
angry,data/SAVEE/ALL/KL_a06.wav
happy,data/SAVEE/ALL/JE_h11.wav
surprise,data/SAVEE/ALL/JK_su05.wav
disgust,data/SAVEE/ALL/DC_d08.wav
happy,data/SAVEE/ALL/KL_h01.wav
sad,data/SAVEE/ALL/DC_sa08.wav
neutral,data/SAVEE/ALL/DC_n20.wav
neutral,data/SAVEE/ALL/JK_n13.wav
fear,data/SAVEE/ALL/JE_f14.wav
fear,data/SAVEE/ALL/DC_f07.wav
angry,data/SAVEE/ALL/DC_a15.wav
sad,data/SAVEE/ALL/JE_sa01.wav
happy,data/SAVEE/ALL/JK_h10.wav
happy,data/SAVEE/ALL/JE_h01.wav
neutral,data/SAVEE/ALL/KL_n28.wav
sad,data/SAVEE/ALL/JE_sa02.wav
fear,data/SAVEE/ALL/JK_f09.wav
angry,data/SAVEE/ALL/KL_a15.wav
surprise,data/SAVEE/ALL/KL_su14.wav
neutral,data/SAVEE/ALL/KL_n03.wav
neutral,data/SAVEE/ALL/JE_n28.wav
surprise,data/SAVEE/ALL/DC_su11.wav
angry,data/SAVEE/ALL/DC_a10.wav
surprise,data/SAVEE/ALL/DC_su12.wav
happy,data/SAVEE/ALL/KL_h15.wav
neutral,data/SAVEE/ALL/KL_n13.wav
fear,data/SAVEE/ALL/KL_f10.wav
surprise,data/SAVEE/ALL/JK_su01.wav
disgust,data/SAVEE/ALL/KL_d02.wav
disgust,data/SAVEE/ALL/KL_d06.wav
fear,data/SAVEE/ALL/KL_f14.wav
happy,data/SAVEE/ALL/JE_h08.wav
neutral,data/SAVEE/ALL/DC_n06.wav
surprise,data/SAVEE/ALL/JE_su08.wav
neutral,data/SAVEE/ALL/DC_n16.wav
disgust,data/SAVEE/ALL/DC_d02.wav
neutral,data/SAVEE/ALL/JE_n22.wav
angry,data/SAVEE/ALL/DC_a08.wav
sad,data/SAVEE/ALL/JK_sa05.wav
disgust,data/SAVEE/ALL/JE_d01.wav
neutral,data/SAVEE/ALL/DC_n13.wav
sad,data/SAVEE/ALL/DC_sa04.wav
disgust,data/SAVEE/ALL/KL_d09.wav
neutral,data/SAVEE/ALL/JK_n26.wav
angry,data/SAVEE/ALL/JK_a02.wav
